0textId year verbs innerVerbs vedeti:cognition misliti:cognition zdeti:cognition hoteti:volition želeti:volition upati:volition pričakovati:volition moči:moral morati:moral smeti:moral skleniti:cognition videti:perception gledati:perception pogledati:perception slišati:perception ljubiti:affect bati:affect skrbeti:affect skrbeti:affect trpeti:affect 
SLV10022 1910 5123 554 57 43 22 61 4 3 6 74 44 9 9 62 65 26 15 34 10 4 4 2 
SLV10023 1870 4369 872 98 52 35 74 17 18 4 149 66 26 2 138 76 21 22 23 8 11 11 21 
SLV10024 1875 8136 1529 275 85 69 155 20 35 2 178 138 72 5 182 66 36 55 25 43 33 33 22 
SLV10025 1876 8358 1593 230 86 68 124 35 48 10 207 65 75 8 256 104 50 25 81 54 19 19 29 
SLV10026 1919 8941 1061 159 56 12 180 5 28 17 121 145 35 8 100 76 33 15 9 19 16 16 11 
SLV10027 1911 5360 678 85 34 29 97 2 14 11 67 83 35 11 77 24 41 27 4 11 10 10 6 
SLV10028 1889 8374 1002 106 62 51 104 29 29 16 105 118 20 6 128 42 54 60 13 24 9 9 17 
SLV10029 1889 4728 626 94 46 26 111 8 3 7 78 46 18 8 71 34 17 3 31 11 7 7 0 
SLV10030 1921 17360 1811 175 96 53 184 37 46 27 202 226 76 20 230 106 36 81 98 51 25 25 17 
SLV10031 1911 21369 3492 331 322 319 526 90 92 49 386 239 34 42 419 180 57 121 172 55 20 20 18 
SLV10032 1900 13907 2110 323 185 96 264 30 34 33 308 233 29 10 244 67 39 44 57 42 20 20 32 
SLV20001 1859 4418 521 53 34 2 92 2 7 7 54 55 12 0 83 39 23 14 14 15 6 6 3 
SLV20002 1884 4838 655 65 55 17 101 6 7 13 108 61 14 11 55 40 26 20 16 20 8 8 4 
SLV30001 1913 4403 740 97 88 29 80 3 4 1 62 76 5 1 114 50 39 30 41 14 1 1 4 
