filename	xmlid	author-name	author-gender	title	subgenre	pub-year-ref	firstEdition	digitalSource	printSource
Brunner_Productions	Brunner_Productions	Brunner, John	M	Les productions du temps	scifi	1978	nan	1978	1978
Bialot_Salon	Bialot_Salon	Bialot, Joseph	M	Le salon du prêt-à-saigner	policier	1978	nan	1978	1978
Dard_Fais	Dard_Fais	Dard, Frédéric	M	Fais-Moi des choses	policier	1978	1978	nan	NA
Jeury_Monde	Jeury_Monde	Jeury, Michel	M	Le monde du Lignus	scifi	1978	nan	1978	1978
Vincenot_Billebaude	Vincenot_Billebaude	Vincenot, Henri	M	La billebaude	blanche	1978	nan	1978	1978
RobbeGrillet_Souvenirs	RobbeGrillet_Souvenirs	Robbe-Grillet, Alain	M	Souvenirs du triangle d'or	blanche	1978	1978	nan	NA
Ryck_Priere	Ryck_Priere	Ryck, Francis	M	Prière de se pencher au-dehors	policier	1978	nan	1978	1978
Magnan_Commissaire	Magnan_Commissaire	Magnan, Pierre	M	Le Commissaire dans la truffière	policier	1978	1978	nan	NA
Perec_Vie	Perec_Vie	Perec, Georges	M	La Vie mode d'emploi	blanche	1978	1978	nan	NA
Veillot_Machine	Veillot_Machine	Veillot, Claude	M	La machine de Balmer	scifi	1978	nan	1978	1978
Winspear_Ombre	Winspear_Ombre	Winspear, Violet	F	D'ombre et du lumière	sentimental	1978	nan	1978	1978
Koontz_Monstre	Koontz_Monstre	Koontz, Dean	M	Le monstre et l'enfant	scifi	1978	nan	1978	1978
Massip_Belle	Massip_Belle	Massip, Renée	F	Belle à jamais...	blanche	1979	nan	1979	1979
BoileauNarcejac_Carte	Boileau-Narcejac_Carte	Boileau, Pierre / Narcejac, Thomas	M	Carte Vermeil	blanche	1979	nan	1979	1979
Curval_Forteresse	Curval_Forteresse	Curval, Philippe	M	La forteresse de coton	scifi	1979	nan	1979	1979
Echenoz_Meridien	Echenoz_Meridien	Echenoz, Jean	M	Le Méridien de Greenwich	policier	1979	1979	nan	NA
