0textId year verbs innerVerbs sehen:perception wollen:volition müssen:moral wissen:cognition sollen:moral mögen:affect meinen:cognition hören:cognition denken:cognition lieben:affect fühlen:affect verstehen:cognition erkennen:cognition vergessen:cognition brauchen:volition vermögen:volition blicken:perception bemerken:perception 
DEU081.xml 1901 49226 6900 1298 1004 734 742 626 276 310 452 376 198 148 202 74 84 184 36 14 142 
DEU082.xml 1915 31784 3700 716 464 420 402 260 132 258 178 152 128 144 76 40 94 38 122 26 50 
DEU083.xml 1914 2358 345 62 48 51 31 20 25 16 11 11 31 12 5 12 4 1 2 3 0 
DEU084.xml 1909 24306 3096 620 470 400 275 299 102 144 204 141 56 77 75 67 12 95 21 1 37 
DEU085.xml 1914 48012 7190 1178 1106 1790 548 680 342 306 430 154 116 48 156 78 56 172 8 12 10 
DEU086.xml 1905 10850 1390 284 164 204 144 80 42 40 60 68 72 100 32 10 30 4 10 6 40 
DEU087.xml 1903 6035 868 122 105 137 97 81 60 26 47 40 26 49 23 12 13 11 13 5 1 
DEU088.xml 1906 4328 883 168 161 168 61 86 21 33 34 92 10 5 18 1 5 17 0 0 3 
DEU089.xml 1909 23153 2847 308 517 298 203 452 280 279 91 55 64 52 46 41 26 40 27 56 12 
DEU090.xml 1912 2712 507 35 91 79 68 54 25 31 14 32 28 12 12 4 8 12 1 0 1 
DEU091.xml 1918 4784 564 80 74 58 75 54 35 15 24 38 11 17 12 16 13 2 18 9 13 
DEU092.xml 1921 6137 981 161 186 172 113 82 37 26 19 81 22 16 16 9 7 21 2 6 5 
DEU093.xml 1920 4510 640 41 88 114 59 45 72 45 36 48 23 9 14 2 14 23 4 1 2 
DEU094.xml 1908 16468 2407 373 242 252 324 198 100 71 92 248 59 190 59 21 36 20 13 42 67 
DEU095.xml 1918 6829 724 157 90 104 85 63 11 59 25 15 14 16 31 1 4 31 2 4 12 
DEU096.xml 1915 10580 1580 278 201 216 174 133 56 103 85 64 14 61 61 20 22 18 12 41 21 
DEU097.xml 1911 6934 1064 167 176 147 98 80 19 86 50 62 44 45 31 1 9 14 1 5 29 
DEU098.xml 1913 5004 842 117 107 74 125 81 37 79 34 46 20 34 36 7 12 7 7 2 17 
DEU099.xml 1914 9832 1172 134 171 172 86 102 112 132 46 65 38 9 19 5 12 40 4 22 3 
DEU100.xml 1903 6596 825 159 145 83 79 83 25 43 30 40 37 19 12 6 18 14 12 12 8 
