;Unnamed: 0;0TextId;year;author-gender;verbs;innerVerbs;sehen:perception;wollen:volition;müssen:moral;wissen:cognition;sollen:moral;mögen:affect;meinen:cognition;hören:perception;denken:cognition;lieben:affect;fühlen:affect;verstehen:cognition;erkennen:cognition;vergessen:cognition;brauchen:volition;vermögen:volition;blicken:perception;bemerken:perception
115;115;k00100000120;1807;f;9146;786;250;20;0;110;1;13;28;92;56;37;102;33;45;27;9;5;74;22
116;116;k00100000134;1855;m;36829;2822;1229;51;2;488;14;45;34;453;284;40;187;103;95;49;95;37;81;60
117;117;k00200001701;1883;f;7514;653;236;5;2;90;1;23;42;76;71;23;32;40;11;24;12;12;47;22
118;118;k00200002208;1908;m;11933;1120;339;34;3;213;1;8;61;151;144;51;64;48;24;20;33;0;29;20
119;119;k00200003116;1903;f;6733;473;130;22;1;103;5;9;38;69;68;12;22;26;8;7;18;2;11;3
120;120;k00200001067;1909;m;14916;1781;588;44;1;296;2;18;86;160;313;96;146;48;17;40;41;11;55;34
121;121;k00200000379;1911;m;11292;1178;524;14;2;146;0;3;23;159;157;33;125;29;25;24;16;0;6;31
122;122;k00200002234;1905;f;6408;615;153;26;1;99;1;4;9;73;78;106;39;27;15;18;10;3;14;14
123;123;k00100000108;1884;m;6819;582;229;19;0;126;5;6;11;94;54;27;25;15;19;12;10;0;13;7
124;124;k00200002552;1919;m;8353;640;181;14;0;119;2;4;18;72;99;15;55;27;16;18;19;3;18;0
125;125;k00200002963;1911;m;11551;842;334;12;0;98;3;28;82;76;69;9;46;42;68;16;37;19;21;33
126;126;k00200002787;1911;m;11928;987;365;26;2;206;0;43;59;97;96;30;72;27;16;15;29;7;33;21
127;127;k00200000184;1906;f;10320;1273;437;28;3;181;1;32;39;121;215;79;119;46;34;9;34;13;11;17
128;128;k00100000322;1888;m;5249;413;130;17;1;118;1;17;45;51;24;9;7;14;3;8;17;6;8;6
129;129;k00200002778;1912;m;5979;513;152;8;0;66;2;2;13;87;61;40;56;35;16;16;6;1;8;11
130;130;k00100000444;1837;m;13959;813;211;22;2;149;7;20;34;134;64;54;91;32;56;39;22;10;40;27
131;131;k00200001271;1919;m;6924;456;138;10;0;92;0;15;74;70;50;6;16;28;19;5;27;4;15;6
132;132;k00200001503;1905;m;9566;511;140;4;0;67;4;38;33;80;38;5;23;37;27;17;39;19;22;32
133;133;k00100000336;1857;m;9663;828;315;17;3;175;0;23;33;105;89;8;47;35;24;17;19;1;19;22
134;134;k00200002744;1907;m;5828;545;232;4;1;59;0;13;30;44;31;14;41;31;15;9;13;3;42;15
135;135;k00200002750;1919;m;6753;553;163;19;0;84;2;28;12;58;71;28;53;19;6;26;12;7;31;10
136;136;k00200002988;1874;m;24783;1628;397;21;0;225;7;127;189;184;136;35;89;74;82;66;67;86;101;101
137;137;k00200000147;1844;m;4722;414;126;13;0;74;1;5;6;75;42;39;16;14;5;11;15;1;9;5
138;138;k00100000295;1788;f;17667;1399;422;34;5;274;8;56;2;214;185;110;56;45;40;66;38;34;27;30
139;139;k00200002817;1917;m;7257;673;233;11;0;94;1;7;116;98;49;32;28;26;2;19;29;0;20;21
140;140;k00200000972;1895;m;8034;533;159;8;1;98;0;39;22;79;41;23;19;50;17;13;12;34;22;8
141;141;k00100000281;1905;f;4829;409;149;3;0;71;0;4;14;55;37;23;49;15;7;10;2;2;8;18
142;142;k00100000256;1896;m;19793;1562;548;44;8;249;9;26;45;329;170;20;69;62;46;14;99;15;38;61
143;143;k00200000769;1889;m;6838;462;101;14;0;126;2;29;39;79;37;6;18;18;12;13;31;5;0;4
144;144;k00200000741;1899;m;13467;1184;401;16;1;186;9;31;40;188;111;28;68;62;28;19;30;12;90;3
145;145;k00200000033;1869;m;8216;690;238;18;0;145;1;12;13;88;60;20;25;54;31;12;9;4;7;22
146;146;k00100000097;1808;f;2351;217;42;15;0;26;1;6;3;19;21;36;22;9;8;10;1;6;4;8
147;147;k00100000083;1903;f;5953;457;165;17;0;68;6;9;33;47;39;38;22;10;7;16;18;5;24;8
148;148;k00200003089;1913;m;8837;693;181;26;0;171;1;1;56;94;51;36;13;48;7;16;46;0;20;29
149;149;k00200001852;1914;m;3825;299;113;9;0;32;1;0;26;37;37;2;3;11;7;10;7;0;16;21
150;150;k00200001661;1864;m;11232;872;268;21;0;201;2;16;45;129;50;33;16;29;45;31;43;5;9;40
151;151;k00100000054;1920;f;3980;280;45;14;0;53;2;5;51;53;41;4;10;9;2;14;15;2;3;2
