filename;Titel;Autor_normalisiert;Jahr;Geschlecht
k00200003160;Sturmflut. Erste Abteilung;Spielhagen, Friedrich;1877;m
k00200003161;Sturmflut. Zweite Abteilung;Spielhagen, Friedrich;1877;m
k00200003162;Was will das werden? Erster Theil;Spielhagen, Friedrich;1885;m
k00200003163;Was will das werden? Zweiter Theil;Spielhagen, Friedrich;1885;m
k00200003164;Wo Gritlis Kinder hingekommen sind;Spyri, Johanna;1884;f
k00200003165;Gritlis Kinder kommen weiter;Spyri, Johanna;1886;f
k00200003171;Europa;Sternheim, Carl;1919;m
k00200003196;Der Stärn vo Buebebärg;Tavel, Rudolf von;1907;m
k00200003199;Der Advokatenbauer;Theden, Dietrich;1899;m
k00200003246;Tutu;Ungern-Sternberg, Alexander von;1846;m
k00200003247;Vierzehn Jahr' und sieben Wochen;Ury, Else;1911;f
k00200003249;Baumeisters Rangen;Ury, Else;1910;f
k00200003251;Dornröschen;Ury, Else;1916;f
k00200003253;Flüchtlingskinder;Ury, Else;1918;f
k00200003254;Goldblondchen;Ury, Else;1908;f
k00200003255;Das graue Haus;Ury, Else;1914;f
k00200003261;Nesthäkchens Backfischzeit;Ury, Else;1919;f
k00200003263;Nesthäkchen im Kinderheim;Ury, Else;1915;f
k00200003265;Nesthäkchen und der Weltkrieg;Ury, Else;1917;f
k00200003268;Nesthäkchen und ihre Puppen;Ury, Else;1913;f
k00200003269;Nesthäkchens erstes Schuljahr;Ury, Else;1915;f
k00200003271;Kommerzienrats Olly;Ury, Else;1913;f
k00200003275;Studierte Mädel von heute;Ury, Else;1906;f
k00200003285;Die Pfahlburg;Vleuten, Carl Ferdinand van;1909;m
k00200003287;Komtesse Helene;Wachenhusen, Hans;1900;m
k00200003288;Miß Lydia;Wachenhusen, Hans;1882;m
k00200003289;Was die Straße verschlingt. Erster Band;Wachenhusen, Hans;1882;m
k00200003290;Was die Straße verschlingt. Zweiter Band;Wachenhusen, Hans;1882;m
k00200003291;Was die Straße verschlingt. Dritter Band;Wachenhusen, Hans;1882;m
k00200003296;Gisli der Waldgänger aus Islands Heldenzeit;Weber, Leopold;1916;m
k00200003302;Der Teppich des Grauens;Weinert-Wilton, Louis;1900;m
k00200003309;Nahar;Weiß, Ernst;1918;m
k00200003329;Der Todfeind;Westkirch, Luise;1912;f
k00200003340;Die tolle Komteß;Wolzogen, Ernst von;1889;m
k00200003341;Durch graue Gassen;Wothe, Anny;1915;f
k00200003342;Auf hoher Warte;Wothe, Anny;1915;f
