filename;Titel;Autor_normalisiert;Jahr;Geschlecht
k00200001108;Nach Sonnenuntergang – Erstes Buch;Jensen, Wilhelm;1879;m
k00200001109;Nach Sonnenuntergang – Zweites Buch;Jensen, Wilhelm;1879;m
k00200001111;Aus See und Sand – Erster Band;Jensen, Wilhelm;1897;m
k00200001112;Aus See und Sand – Zweiter Band;Jensen, Wilhelm;1897;m
k00200001113;Der Tag von Stralsund;Jensen, Wilhelm;1890;m
k00200001114;Auf dem Vestenstein;Jensen, Wilhelm;1912;m
k00200001117;Kristiania Bohême;Jäger, Hans;1899;m
k00200001118;Schwarze Diamanten;Jókai, Maurus;1877;m
k00200001121;O Domina mea;Karrillon, Adam;1909;m
k00200001126;Hubertus;Keller, Paul;1916;m
k00200001127;Das letzte Märchen;Keller, Paul;1915;m
k00200001129;Der Sohn der Hagar;Keller, Paul;1910;m
k00200001131;Waldwinter;Keller, Paul;1902;m
k00200001133;Bunte Herzen - Zwei Novellen::Bunte Herzen;Keyserling, Eduard von;1909;m
k00200001136;Fräulein Rosa Herz;Keyserling, Eduard von;1887;m
k00200001138;Die dritte Stiege;Keyserling, Eduard von;1892;m
k00200001140;Schnee;Kielland, Alexander Lange;1889;m
k00200001153;Naulahka, das Staatsglück;Balestier, Rudyard Kipling und Wolcott;1900;m
k00200001161;Der Kavalier auf den Knien und andere Liebesgeschichten...;Klabund;1891;m
k00200001163;Mohammed;Klabund;1917;m
k00200001164;Moreau;Klabund;1915;m
k00200001169;Das Rätsel von Grünweide;Klemm, Johanna;1900;f
k00200001170;Der Faust der Morgenländer;Klinger, Friedrich Maximilian;1795;m
k00200001171;Geschichte Giafars des Barmeciden - Band 1;Klinger, Friedrich Maximilian;1791;m
k00200001172;Geschichte Giafars des Barmeciden - Band 2;Klinger, Friedrich Maximilian;1791;m
k00200001173;Reisen vor der Sündfluth;Klinger, Friedrich Maximilian;1795;m
k00200001178;Der Traum des Herrn Brick;Adolph, Friedrich Ludwig;1856;m
k00200001179;Geschichte Peter Clausens;Knigge, Adolph Freiherr;1783;m
k00200001180;Die Verirrungen des Philosophen oder Geschichte Ludwigs von Seelberg;Knigge, Adolph Freiherr;1787;m
k00200001185;Friedel Polten und ihre Rangen;Koch, Henny;1890;f
k00200001198;Der jüdische Gil Blas;Kohn, Joseph Seligmann;1834;m
k00200001199;Am Pflug;Kompert, Leopold;1855;m
k00200001219;Die Vestalinnen, Band 1;Kraft, Robert;1904;m
k00200001220;Die Vestalinnen, Band 2;Kraft, Robert;1904;m
k00200001221;Die Vestalinnen, Band 3;Kraft, Robert;1904;m
k00200001240;Schillers Heimatjahre;Kurz, Hermann;1843;m
k00200001249;Tropenarzt im Afrikanischen Busch;Külz, Ludwig;1906;m
k00200001254;Quinctius Heymeran von Flaming;Lafontaine, August;1795;m
k00200001266;Haß;Landsberger, Artur;1915;m
k00200001271;Wolfs Geschichten um ein Bürgerhaus -- Erstes Buch: Im Schatten Napoleons;Langewiesche, Wilhelm;1919;m
k00200001272;Wolfs Geschichten um ein Bürgerhaus – Zweites Buch: Vor Bismarcks Aufgang;Langewiesche, Wilhelm;1919;m
k00200001278;Frau Aleit;Lauff, Joseph von;1905;m
k00200001280;Anne-Susanne;Lauff, Joseph von;1915;m
k00200001281;Die Brinkschulte;Lauff, Joseph von;1913;m
k00200001283;Kärrekiek;Lauff, Joseph von;1902;m
k00200001284;Marie Verwahnen;Lauff, Joseph von;1903;m
k00200001286;Pittje Pittjewitt;Lauff, Joseph von;1903;m
k00200001287;Sankt Anne;Lauff, Joseph von;1908;m
k00200001288;Schnee;Lauff, Joseph von;1919;m
k00200001293;Die Tanzmamsell;Lauff, Joseph von;1907;m
k00200001298;Aspira;Laßwitz, Kurd;1904;m
k00200001299;Auf zwei Planeten;Laßwitz, Kurd;1897;m
k00200001304;Sternentau;Laßwitz, Kurd;1909;m
k00200001321;Der Pfeiferkönig;Lienert, Meinrad;1909;m
k00200001325;Oberlin;Lienhard, Friedrich;1910;m
k00200001330;Der Gast;Lindau, Rudolf;1883;m
k00200001332;Liebesheiraten;Lindau, Rudolf;1894;m
k00200001342;Daphnis und Chloe;Longus;1838;m
k00200001351;Das zweite Gesicht;Löns, Hermann;1912;m
k00200001355;Der letzte Hansbur;Löns, Hermann;1909;m
k00200001356;Dahinten in der Heide;Löns, Hermann;1909;m
k00200001358;Kraut und Lot;Löns, Hermann;1911;m
k00200001361;Der zweckmäßige Meyer;Löns, Hermann;1911;m
k00200001370;Fritz Beutel;Marggraff, Hermann;1856;m
k00200001373;Die zweite Frau;Marlitt, Eugenie;1874;f
k00200001374;Das Eulenhaus;Marlitt, Eugenie;1888;f
k00200001375;Reichsgräfin Gisela;Marlitt, Eugenie;1869;f
k00200001376;Im Schillingshof;Marlitt, Eugenie;1870;f
k00200001397;Der neue Ahasver;Mauthner, Fritz;1882;m
k00200001399;Hypatia;Mauthner, Fritz;1891;m
k00200001401;Der letzte Tod des Gautama Buddha;Mauthner, Fritz;1912;m
k00200001404;Der Mir von Dschinnistan;May, Karl;1916;m
k00200001407;Der Scout;May, Karl;1889;m
k00200001410;Im Todesthale;May, Karl;1867;m
k00200001411;Scepter und Hammer;May, Karl;1879;m
k00200001412;Lopez Jordan::Lopez Jordan;May, Karl;1889;m
k00200001413;Der Schatz der Inkas::Lopez Jordan;May, Karl;1890;m
k00200001414;Der Schatz im Silbersee::Der Schatz im Silbersee;May, Karl;1891;m
k00200001415;Die Liebe des Ulanen 1;May, Karl;1885;m
k00200001416;Die Liebe des Ulanen;May, Karl;1885;m
k00200001417;Die Liebe des Ulanen;May, Karl;1885;m
k00200001418;Die Liebe des Ulanen;May, Karl;1885;m
k00200001419;Die Liebe des Ulanen;May, Karl;1885;m
k00200001421;Zwei Kaiserkronen;Meding, Oskar;1875;m
k00200001422;Die Römerfahrt der Epigonen;Meding, Oskar;1874;m
k00200001423;Europäische Minen und Gegenminen;Meding, Oskar;1873;m
k00200001424;Der Todesgruß der Legionen;Meding, Oskar;1874;m
k00200001425;Palle;Meding, Oskar;1895;m
k00200001426;Die Saxoborussen;Meding, Oskar;1885;m
k00200001427;Das Blinkfeuer von Brüsterort;Megede, Johannes Richard zur;1901;m
k00200001428;Félicie;Megede, Johannes Richard zur;1900;m
k00200001429;Modeste;Megede, Johannes Richard zur;1905;m
k00200001430;Der Ueberkater;Megede, Johannes Richard zur;1905;m
k00200001431;Der Ueberkater;Megede, Johannes Richard zur;1905;m
k00200001433;Die Bernsteinhexe Maria Schweidler::Die Bernsteinhexe Maria Schweidler;Meinhold, Wilhelm;1841;m
k00200001445;Richard Feverel;Meredith, George;1859;m
k00200001447;Heidenstamm;Meyer-Förster, Wilhelm;1901;m
k00200001453;Das grüne Gesicht;Meyrink, Gustav;1916;m
k00200001458;Walpurgisnacht;Meyrink, Gustav;1917;m
k00200001495;Die Familie Melville;Möllhausen, Balduin;1889;m
k00200001496;Das Mormonenmädchen. Band I;Möllhausen, Balduin;1864;m
k00200001497;Das Mormonenmädchen. Band II;Möllhausen, Balduin;1864;m
k00200001500;Der Piratenlieutenant - Teil 1;Möllhausen, Balduin;1869;m
k00200001501;Der Piratenlieutenant – Teil 2;Möllhausen, Balduin;1869;m
k00200001502;Der Schatz von Quivira;Möllhausen, Balduin;1879;m
k00200001503;Der Vaquero;Möllhausen, Balduin;1905;m
k00200001505;Afraja König von Lappland;Mügge, Theodor;1854;m
k00200001506;Afraja;Mügge, Theodor;1854;m
k00200001508;Erich Randal;Mügge, Theodor;1856;m
k00200001511;Frau Doktor Breuer;Mühlau, Helene von;1920;f
k00200001516;Der große Schwabenzug;Müller-Guttenbrunn, Adam;1913;m
k00200001518;Der Herr der Welt;Mützelburg, Adolf;1856;m
k00200001522;Elisabeth. I. Band;Nathusius, Marie;1858;f
k00200001523;Elisabeth – Zweiter Band;Nathusius, Marie;1858;f
k00200001543;Das Tagebuch der Ottony von Kelchberg;Niese, Charlotte;1913;f
k00200001545;Kajus Rungholt;Niese, Charlotte;1886;f
k00200001573;Aus großen Höhen;Ompteda, Georg Freiherr von;1903;m
k00200001574;Denise de Montmidi;Ompteda, Georg Freiherr von;1904;m
k00200001575;Margret und Ossana;Ompteda, Georg Freiherr von;1911;m
k00200001576;Maria da Caza;Ompteda, Georg Freiherr von;1897;m
