0textId year verbs innerVerbs vedea:perception ști:cognition putea:volition trebui:moral vrea:volition părea:perception uita:perception crede:cognition iubi:affect auzi:perception simți:physiology afla:cognition cunoaște:cognition gândi:cognition înțelege:cognition privi:perception voi:volition asculta:perception plânge:physiology plăcea:affect mulțumi:moral alege:moral suferi:physiology ferici:affect hotărî:moral 
ROM074 1910 16831 2138 360 274 196 164 92 72 70 94 75 89 54 65 75 60 62 45 20 22 18 57 29 57 20 27 41 
ROM075 1914 11547 1456 226 179 141 113 70 51 53 94 54 60 22 59 54 37 46 19 27 19 10 28 23 20 12 12 27 
ROM076 1920 28129 4035 532 364 255 301 330 213 286 126 78 215 248 66 76 187 109 93 24 93 78 71 90 72 38 35 55 
ROM077 1914 29917 4989 635 461 411 281 155 581 128 276 50 248 326 134 117 241 137 183 46 81 45 107 65 94 47 75 65 
ROM078 1912 18240 2191 322 251 223 153 153 79 74 92 106 53 65 91 96 36 63 40 24 18 21 33 40 58 40 16 44 
ROM079 1904 9407 1506 229 177 83 125 109 67 47 56 23 69 98 42 41 71 52 39 23 39 19 7 24 12 21 12 21 
ROM080 1883 13525 1885 265 152 136 178 69 135 81 133 35 80 58 86 28 41 79 27 121 33 18 23 18 21 36 18 14 
ROM081 1916 3136 406 69 39 41 34 36 26 18 16 0 15 21 8 22 6 4 7 8 10 3 3 1 2 2 3 12 
ROM082 1906 11161 2011 258 198 142 134 152 114 90 69 108 31 153 8 77 69 68 41 40 26 33 31 23 26 38 65 17 
ROM083 1918 6452 983 119 64 72 92 74 53 26 28 22 36 66 37 43 32 20 59 8 19 19 11 23 7 22 20 11 
ROM084 1899 3191 361 41 23 38 39 6 21 16 18 9 8 6 47 19 1 8 21 19 5 1 1 0 8 4 0 2 
ROM085 1911 18207 2492 344 222 102 1 105 124 75 140 100 91 118 128 165 71 58 146 75 52 92 36 75 29 78 43 22 
ROM086 1871 5500 684 91 79 35 47 25 41 24 46 46 11 14 19 23 20 27 20 16 31 13 7 11 7 9 15 7 
ROM087 1916 4944 885 123 95 68 44 48 45 46 33 43 17 62 18 20 32 20 32 13 14 23 14 11 4 32 11 17 
ROM088 1899 4509 750 108 34 65 49 33 47 34 33 74 24 45 14 7 27 18 14 19 15 21 17 12 8 5 21 6 
ROM089 1875 4922 870 169 47 72 39 25 37 43 36 133 10 25 30 16 19 18 24 43 15 22 10 8 0 10 16 3 
ROM090 1908 6429 831 120 94 38 45 76 52 69 35 25 31 31 10 15 12 4 45 1 18 20 25 7 13 17 15 13 
ROM091 1920 7103 1039 128 126 74 67 99 85 89 58 7 28 41 28 21 15 9 31 3 29 22 13 8 13 15 7 23 
ROM092 1910 6964 891 136 105 26 41 100 57 85 54 13 44 36 15 6 11 5 17 0 27 36 15 4 25 14 9 10 
ROM093 1911 5289 1108 90 90 101 57 83 101 126 45 86 11 51 7 22 52 44 10 13 11 10 16 8 2 28 32 12 
ROM094 1903 2831 431 82 57 33 11 17 26 21 23 3 17 17 4 19 11 13 12 9 5 38 2 1 0 3 3 4 
ROM095 1862 27647 3563 419 309 311 104 501 136 161 278 153 45 83 306 84 0 135 42 73 79 38 77 55 36 79 59 0 
ROM096 1853 3821 618 116 49 32 44 45 9 32 12 32 40 12 6 35 22 19 13 11 17 8 8 14 15 10 4 13 
ROM097 1860 11463 1377 185 58 84 72 26 89 64 63 277 37 76 12 46 3 31 57 68 20 0 26 16 9 14 44 0 
ROM098 1871 6605 674 104 68 35 81 33 10 21 59 51 24 8 42 19 3 0 1 28 22 12 7 15 0 3 16 12 
ROM099 1876 16359 1705 74 134 219 210 74 62 61 99 92 10 18 143 43 53 0 56 89 37 18 29 0 84 20 80 0 
ROM100 1863 11458 1514 290 113 87 27 77 54 59 47 60 89 25 198 80 16 44 27 81 35 0 15 22 23 16 12 17 
