0textId year verbs innerVerbs bemerken blicken brauchen denken erkennen fühlen hören lieben meinen mögen müssen sehen sollen vergessen vermögen verstehen wissen wollen 
DEU082.xml 1915 31784 3700 50 26 38 152 40 144 178 128 258 132 420 716 260 94 122 76 402 464 
DEU083.xml 1914 2358 345 0 3 1 11 12 12 11 31 16 25 51 62 20 4 2 5 31 48 
DEU084.xml 1909 24306 3096 37 1 95 141 67 77 204 56 144 102 400 620 299 12 21 75 275 470 
DEU085.xml 1914 48012 7190 10 12 172 154 78 48 430 116 306 342 1790 1178 680 56 8 156 548 1106 
DEU086.xml 1905 10850 1390 40 6 4 68 10 100 60 72 40 42 204 284 80 30 10 32 144 164 
DEU087.xml 1903 6035 868 1 5 11 40 12 49 47 26 26 60 137 122 81 13 13 23 97 105 
DEU088.xml 1906 4328 883 3 0 17 92 1 5 34 10 33 21 168 168 86 5 0 18 61 161 
DEU089.xml 1909 23153 2847 12 56 40 55 41 52 91 64 279 280 298 308 452 26 27 46 203 517 
DEU090.xml 1912 2712 507 1 0 12 32 4 12 14 28 31 25 79 35 54 8 1 12 68 91 
DEU091.xml 1918 4784 564 13 9 2 38 16 17 24 11 15 35 58 80 54 13 18 12 75 74 
DEU092.xml 1921 6137 981 5 6 21 81 9 16 19 22 26 37 172 161 82 7 2 16 113 186 
DEU093.xml 1920 4510 640 2 1 23 48 2 9 36 23 45 72 114 41 45 14 4 14 59 88 
DEU094.xml 1908 16468 2407 67 42 20 248 21 190 92 59 71 100 252 373 198 36 13 59 324 242 
DEU095.xml 1918 6829 724 12 4 31 15 1 16 25 14 59 11 104 157 63 4 2 31 85 90 
DEU096.xml 1915 10580 1580 21 41 18 64 20 61 85 14 103 56 216 278 133 22 12 61 174 201 
DEU097.xml 1911 6934 1064 29 5 14 62 1 45 50 44 86 19 147 167 80 9 1 31 98 176 
DEU098.xml 1913 5004 842 17 2 7 46 7 34 34 20 79 37 74 117 81 12 7 36 125 107 
DEU099.xml 1914 9832 1172 3 22 40 65 5 9 46 38 132 112 172 134 102 12 4 19 86 171 
DEU100.xml 1903 6596 825 8 12 14 40 6 19 30 37 43 25 83 159 83 18 12 12 79 145 
